name,iso,natural,conflict,socioecon,vuln,institutional,infra
Turkey,TUR,5.8,8,2.6,6.9,3.8,2.6
Turkmenistan,TKM,4.5,1.3,1.5,1,7.7,4.4
Tuvalu,TUV,2.6,0.1,7.4,3.8,6.9,3.4
Uganda,UGA,3.4,6.6,5.7,7.4,6.8,7
Ukraine,UKR,3.1,9,1.6,6.5,6.6,2.8
United Arab Emirates,ARE,6.1,0,1.6,0.8,2.4,1.3
United Kingdom,GBR,2.1,3.1,0.8,3.2,2,0.9
United States of America,USA,6.9,6.7,1.1,5.3,2.7,1.5
Uruguay,URY,1.3,0,2.2,1,3.8,1.8
Uzbekistan,UZB,6.1,3.4,2,0.6,4.8,3.3
Vanuatu,VUT,4,0.1,5.2,3.2,5.9,6.2
Venezuela,VEN,5.8,5.7,2.9,4.3,5.2,3.3
Viet Nam,VNM,7.2,2.9,2.3,2.1,5,3.3
Yemen,YEM,3.2,10,5.5,8.1,8.5,7.1
Zambia,ZMB,2.3,1.8,5.1,5.3,4.9,6.5
Zimbabwe,ZWE,4.6,4.8,4.7,4.8,5.1,6.4
